age,income,loan_amount,fico_score,employment_years,loan_purpose,default
56,154415,25119,826,20,personal,0
69,164572,32446,796,22,education,0
46,49375,18046,815,15,home,0
32,160734,29818,648,14,medical,0
60,36964,40358,696,24,personal,1
25,133429,9324,460,35,personal,0
38,87215,15787,315,10,home,1
56,89042,14111,792,14,education,1
36,164356,43110,725,3,medical,0
40,113468,21389,407,20,education,0
28,29435,46427,749,12,business,0
28,195150,19043,610,21,business,0
41,98832,33746,469,18,home,0
53,71293,27350,845,33,home,0
57,98781,46605,713,13,home,0
41,180196,5117,550,3,business,1
20,63919,23935,440,26,education,0
39,186319,18234,573,28,education,1
19,141172,43328,715,27,home,0
41,114758,5846,338,34,medical,1
61,76573,15954,328,7,education,0
47,79101,18703,776,15,business,0
55,46646,27700,617,35,personal,0
19,124185,37043,544,29,personal,0
38,43049,11469,571,17,personal,0
50,118116,35105,739,1,medical,1
29,117379,47101,538,12,home,0
39,88385,31386,676,3,business,0
61,146131,41976,565,25,medical,1
42,191230,44051,658,24,business,1
66,43289,7048,639,29,business,0
44,130226,44001,688,10,home,0
59,120793,17941,302,6,personal,0
45,29823,47533,728,30,home,0
33,61975,6828,441,9,medical,1
32,29540,6917,675,38,medical,1
64,36364,25618,623,12,medical,1
68,155683,37254,445,30,home,1
61,47663,44756,592,6,business,0
69,71991,25128,731,35,business,1
20,124182,5009,698,19,education,1
54,182049,21644,643,3,medical,0
68,114704,27422,439,6,business,1
24,69115,14865,486,0,education,0
38,111007,7219,360,12,business,0
26,169143,44809,679,21,medical,1
56,31938,10287,739,20,personal,0
35,186267,39387,618,21,medical,0
21,111680,13512,601,27,home,0
42,24000,6342,643,8,business,0
31,121042,48336,310,25,business,1
67,113610,24216,361,8,home,0
26,123691,32534,525,14,home,0
43,58304,19231,452,9,personal,1
19,89449,37293,609,23,business,0
37,102986,31614,542,7,business,0
45,171836,41258,792,23,personal,0
64,128940,33253,665,15,education,1
24,58494,47078,629,25,personal,0
61,23373,45752,406,26,medical,0
25,163233,22988,525,36,business,0
64,117532,36037,517,3,home,0
52,112658,17219,805,23,medical,0
31,143633,5235,558,18,business,0
34,120386,47929,816,35,personal,0
53,47350,6908,353,38,medical,1
67,113008,13567,346,9,business,0
57,114297,41298,820,24,education,1
21,45351,10256,398,17,education,1
19,108668,24019,319,18,home,1
23,134585,13162,789,35,business,0
59,166377,10415,718,9,education,0
21,95353,41159,361,32,personal,0
46,85953,48925,444,4,business,0
35,77458,10951,515,34,personal,0
43,40358,26852,302,33,personal,1
61,23267,13007,459,32,education,1
51,102745,46832,419,20,business,0
27,109588,35523,388,16,medical,0
53,58513,28325,628,21,education,1
31,177164,26204,656,36,education,0
48,31338,20524,566,14,business,0
65,151484,24282,622,34,business,1
32,27543,28930,840,27,personal,0
25,125891,5077,494,6,business,0
31,184568,45345,631,31,personal,0
40,80692,25611,469,10,education,1
57,64425,21984,820,9,home,0
38,58756,19060,762,8,medical,0
33,38888,22449,339,13,education,0
62,186807,23520,836,12,business,0
35,67295,48303,560,24,medical,0
64,134352,14510,694,1,home,1
41,103042,34287,525,34,home,0
43,105999,33173,423,6,personal,1
42,37955,44711,337,20,medical,0
62,57841,16954,627,17,personal,0
58,90640,12804,550,2,education,0
46,185983,11565,475,38,medical,0
32,158429,10984,753,10,education,0
62,183551,26526,336,38,personal,0
18,81476,42438,615,23,medical,0
42,64811,23574,413,18,personal,0
24,187280,14184,339,3,medical,0
